id,name,sku,cat,uzanti
2333420,NORM-116,KAPILAR_0067_NORM-116,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0067_NORM-116.png
2333421,AYKA-44,KAPILAR_0068_AYKA-44,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0068_AYKA-44.png
2333422,NORM-115,KAPILAR_0068_NORM-115,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0068_NORM-115.png
2333423,AYKA-43,KAPILAR_0069_AYKA-43,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0069_AYKA-43.png
2333424,NORM-114,KAPILAR_0069_NORM-114,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0069_NORM-114.png
2333425,AYKA-42,KAPILAR_0070_AYKA-42,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0070_AYKA-42.png
2333426,NORM-113,KAPILAR_0070_NORM-113,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0070_NORM-113.png
2333427,AYKA-41,KAPILAR_0071_AYKA-41,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0071_AYKA-41.png
2333428,NORM-112,KAPILAR_0071_NORM-112,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0071_NORM-112.png
2333429,AYKA-40,KAPILAR_0072_AYKA-40,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0072_AYKA-40.png
2333430,NORM-111,KAPILAR_0072_NORM-111,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0072_NORM-111.png
2333431,AYKA-39,KAPILAR_0073_AYKA-39,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0073_AYKA-39.png
2333432,NORM-110,KAPILAR_0073_NORM-110,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0073_NORM-110.png
